C0001,0,0,0,0,0,0
C0002,0,0,0,0,0,0
L0001,0,0,0,0,0,0
L0002,0,0,0,0,0,0
L0003,0,0,0,0,0,0
L0004,0,0,0,0,0,0
L0005,0,0,0,0,0,0
L0006,0,0,0,0,0,0
L0007,0,0,0,0,0,0
L0008,0,0,0,0,0,0
L0009,0,0,0,0,0,0
L0010,0,0,0,0,0,0
L0011,0,0,0,0,0,0
L0012,0,0,0,0,0,0
L0013,0,0,0,0,0,0
L0014,0,0,0,0,0,0
L0015,0,0,0,0,0,0
L0016,0,0,0,0,0,0
L0017,0,0,0,0,0,0
L0018,0,0,0,0,0,0
L0019,0,0,0,0,0,0
L0020,0,0,0,0,0,0
L0021,0,0,0,0,0,0
L0022,0,0,0,0,0,0
L0023,0,0,0,0,0,0
L0024,0,0,0,0,0,0
L0025,0,0,0,0,0,0
L0026,0,0,0,0,0,0
L0027,0,0,0,0,0,0
L0028,0,0,0,0,0,0
L0029,0,0,0,0,0,0
L0030,0,0,0,0,0,0
